Shortest path
Vertex		Distance from Source
36.29.138.97		495
36.32.137.69		282
36.50.52.170		326
36.50.133.180		317
36.54.83.103		325
36.54.135.7		356
36.61.249.191		391
36.66.160.248		342
36.68.78.186		306
36.70.228.110		323
36.73.1.35		390
36.75.245.114		345
36.79.202.232		305
36.83.59.164		238
1.97.91.30		329
1.102.139.17		271
1.106.220.147		298
1.111.91.45		217
1.114.178.125		369
1.115.252.205		696
1.117.109.246		397
1.122.59.43		269
1.125.112.8		373
1.127.188.176		499
1.129.197.72		328
1.138.179.125		351
1.143.214.187		370
240.1.34.139		368
240.18.198.249		352
240.26.120.182		382
240.61.51.189		567
240.62.173.197		395
240.64.152.165		409
240.74.251.194		383
240.82.188.194		480
240.85.17.161		295
240.91.178.54		523
240.103.113.182		293
240.103.154.172		375
240.104.128.11		504
240.105.184.47		255
240.108.210.181		422
240.109.69.101		357
240.121.78.166		418
240.122.141.180		446
240.127.163.161		336
240.142.104.114		551
240.152.9.182		426
240.156.54.85		623
1.152.5.111		490
1.155.44.151		401
1.163.24.16		189
1.168.193.111		284
1.172.25.149		356
1.185.86.53		380
1.191.159.163		277
1.194.23.178		339
1.198.203.112		348
1.206.154.156		314
1.207.23.160		234
1.219.238.130		254
1.229.185.179		365
1.232.222.168		437
1.233.161.147		373
1.241.129.170		431
2.4.190.195		315
2.7.33.253		387
2.7.119.118		213
2.8.170.105		452
2.14.32.135		386
2.38.83.29		369
2.43.168.98		287
2.45.156.11		461
2.45.241.36		518
2.61.158.102		391
2.64.55.25		370
2.65.232.60		373
2.70.3.137		362
2.79.34.197		327
2.81.40.29		518
2.81.231.243		275
2.83.76.160		141
2.85.8.4		455
2.86.219.128		322
2.106.5.78		411
2.110.40.228		333
2.112.8.117		365
2.116.174.77		337
2.122.23.177		300
2.123.73.92		399
2.130.93.77		342
2.132.46.94		401
2.139.111.106		226
2.146.157.244		418
2.151.33.250		337
2.163.39.221		374
2.171.242.103		402
2.190.129.106		385
2.207.139.14		395
2.208.24.101		389
2.210.55.6		348
2.223.1.94		375
2.225.157.87		372
2.235.62.215		309
2.239.141.42		378
2.239.169.226		322
2.240.27.176		326
2.244.70.170		351
2.246.109.87		277
2.249.140.54		532
3.2.224.27		399
3.7.54.240		278
3.12.191.184		275
3.29.49.2		161
3.44.237.3		405
3.50.239.150		387
3.53.98.200		443
3.59.40.131		251
3.73.53.143		324
3.74.3.234		296
3.76.32.10		302
3.76.247.152		382
3.87.169.72		138
3.96.31.210		472
3.99.142.197		397
3.100.58.56		160
3.103.201.231		321
3.111.106.140		327
3.112.35.98		406
3.115.215.77		327
3.119.217.22		456
3.127.231.10		476
3.129.226.238		388
3.139.161.30		244
3.139.251.147		216
3.153.28.139		243
3.159.158.99		285
3.167.33.184		329
3.168.215.165		282
3.173.29.173		268
3.182.165.188		283
3.185.252.239		544
3.189.110.219		298
3.189.140.252		313
3.190.233.69		381
3.192.227.165		286
3.192.247.235		406
3.196.171.190		317
3.200.98.93		300
3.200.240.220		379
3.201.153.168		342
3.201.247.115		320
3.204.29.156		324
3.204.157.14		335
3.206.103.171		520
3.214.63.200		372
3.220.74.220		249
3.220.251.89		341
3.222.106.232		381
3.223.62.59		222
3.223.137.206		401
3.230.139.56		433
3.243.175.219		349
3.245.39.190		323
3.247.215.144		512
3.252.86.175		402
3.254.244.172		331
4.3.154.125		521
4.5.34.202		318
4.11.41.45		260
4.25.86.93		521
4.46.93.220		275
4.47.169.185		328
4.49.63.2		418
4.51.194.190		299
4.51.213.79		343
4.54.70.62		473
4.54.118.114		390
4.63.160.140		292
4.64.180.166		677
4.69.122.216		378
4.69.203.240		193
4.75.133.118		343
4.77.134.112		230
4.79.36.239		345
4.84.19.216		379
4.84.253.80		401
4.87.224.127		314
4.91.115.199		418
4.97.212.218		134
4.98.100.160		411
4.101.9.96		266
4.106.120.90		296
4.106.121.59		226
4.107.173.56		385
4.108.244.179		474
4.112.4.154		394
4.113.123.72		417
4.120.65.101		326
4.123.214.218		485
4.124.239.6		212
4.131.6.26		315
4.136.64.229		345
4.139.194.195		351
4.145.31.252		328
4.153.72.230		287
4.153.101.96		357
4.162.180.170		326
4.164.62.179		314
4.165.117.107		429
4.173.247.3		428
4.181.192.32		422
4.182.183.84		324
4.193.171.49		350
4.194.119.253		370
4.195.37.41		222
4.195.47.225		416
4.197.186.179		171
4.200.180.109		448
4.207.84.30		406
4.210.80.44		461
4.213.141.25		308
4.237.75.46		277
4.237.75.237		447
4.237.189.41		570
4.241.187.223		397
5.1.34.92		378
5.6.11.81		343
5.18.155.162		395
5.18.173.43		269
5.19.124.235		265
5.19.200.33		397
5.20.75.187		412
5.30.79.115		309
5.31.47.39		381
5.31.77.27		429
5.33.90.194		461
5.37.122.5		358
5.38.147.105		337
5.48.73.153		559
5.51.102.206		360
5.51.252.130		325
5.52.58.223		369
5.55.215.207		534
5.65.9.127		439
5.68.113.204		437
5.74.61.204		502
5.78.6.27		339
5.93.92.183		317
5.95.211.74		338
5.103.188.166		294
5.115.34.54		270
5.115.143.189		331
5.127.162.172		389
5.129.211.127		383
5.131.166.17		378
5.133.123.184		610
5.137.126.116		333
5.137.233.146		279
5.139.2.146		247
5.145.72.53		383
5.147.106.202		558
5.147.204.51		409
5.149.195.151		463
5.153.23.217		311
5.164.109.143		395
5.167.80.61		332
5.171.75.196		309
5.190.40.206		394
5.191.141.31		348
5.197.12.161		591
5.198.225.40		337
5.210.251.57		156
5.212.67.187		355
5.219.180.90		305
5.227.152.91		483
5.231.44.161		215
5.240.186.222		422
5.241.69.183		415
5.243.55.44		329
5.245.203.112		396
5.254.81.152		321
6.1.8.59		330
6.3.240.97		449
6.7.44.202		327
6.10.125.216		465
6.21.127.96		246
6.22.22.56		370
6.23.230.87		403
6.42.105.254		222
6.50.175.139		481
6.51.6.133		299
6.81.80.221		387
6.93.69.18		423
6.98.88.238		516
6.100.5.13		285
6.101.54.181		447
6.102.76.125		380
6.105.233.29		477
6.112.164.148		463
6.113.112.197		307
6.119.125.105		645
6.121.137.150		267
6.124.138.104		357
6.131.103.52		425
6.139.143.121		273
6.141.238.123		418
6.148.11.47		445
6.151.51.40		343
6.156.108.143		329
6.171.58.7		164
6.173.36.214		363
6.175.153.184		391
6.176.37.213		385
6.187.249.21		230
6.190.97.158		274
6.199.240.130		278
6.202.40.23		439
6.202.74.81		464
6.211.197.221		220
6.213.225.177		342
6.220.113.4		348
6.221.172.155		362
6.222.5.114		208
6.226.102.24		321
6.230.176.233		199
6.234.18.194		291
6.235.142.24		339
6.237.135.202		335
6.245.143.253		292
6.252.240.158		471
7.1.112.108		439
7.7.190.144		385
7.7.251.32		386
7.9.250.65		330
7.14.179.10		378
7.15.191.176		232
7.19.111.126		286
7.25.140.82		384
7.25.232.212		397
